Freq.	V(in)	V(out)
2.23872113856833e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.29854915834404e+001dB,-8.59335755161334e+001°)
2.51188643150957e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.39809975685203e+001dB,-8.63745443029826e+001°)
2.81838293126444e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.49774245285887e+001dB,-8.67679225376729e+001°)
3.16227766016837e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.59745842656988e+001dB,-8.71187796579127e+001°)
3.54813389233574e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.69723268401978e+001dB,-8.74316645714595e+001°)
3.98107170553496e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.79705328668011e+001dB,-8.77106533598156e+001°)
4.46683592150961e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.89691073347874e+001dB,-8.79593943587264e+001°)
5.01187233627270e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.99679746609065e+001dB,-8.81811501673232e+001°)
5.62341325190347e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.09670747354929e+001dB,-8.83788363939354e+001°)
6.30957344480191e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.19663597664115e+001dB,-8.85550571172595e+001°)
7.07945784384135e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.29657917623904e+001dB,-8.87121371515945e+001°)
7.94328234724278e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.39653405278124e+001dB,-8.88521512723990e+001°)
8.91250938133742e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.49649820660323e+001dB,-8.89769505966101e+001°)
9.99999999999995e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.59646973086328e+001dB,-8.90881863303862e+001°)
1.12201845430196e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.69644711044839e+001dB,-8.91873311018455e+001°)
1.25892541179416e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.79642914157450e+001dB,-8.92756980926592e+001°)
1.41253754462275e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.89641486786077e+001dB,-8.93544581732733e+001°)
1.58489319246111e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-3.99640352951262e+001dB,-8.94246552343310e+001°)
1.77827941003891e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.09639452293159e+001dB,-8.94872198930671e+001°)
1.99526231496887e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.19638736861686e+001dB,-8.95429817390715e+001°)
2.23872113856833e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.29638168565869e+001dB,-8.95926802695335e+001°)
2.51188643150957e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.39637717147156e+001dB,-8.96369746502978e+001°)
2.81838293126444e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.49637358569182e+001dB,-8.96764524260449e+001°)
3.16227766016836e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.59637073738464e+001dB,-8.97116372907739e+001°)
3.54813389233573e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.69636847488051e+001dB,-8.97429960185818e+001°)
3.98107170553495e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.79636667770120e+001dB,-8.97709446445006e+001°)
4.46683592150961e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.89636525014563e+001dB,-8.97958539758456e+001°)
5.01187233627269e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.99636411619459e+001dB,-8.98180545061016e+001°)
5.62341325190346e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.09636321546315e+001dB,-8.98378407957671e+001°)
6.30957344480189e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.19636249998540e+001dB,-8.98554753777348e+001°)
7.07945784384134e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.29636193166039e+001dB,-8.98711922386360e+001°)
7.94328234724277e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.39636148022325e+001dB,-8.98851999220682e+001°)
8.91250938133740e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.49636112163366e+001dB,-8.98976842946854e+001°)
9.99999999999994e+003	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.59636083679560e+001dB,-8.99088110117167e+001°)
1.12201845430196e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.69636061054056e+001dB,-8.99187277145315e+001°)
1.25892541179416e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.79636043081971e+001dB,-8.99275659893403e+001°)
