Freq.	V(in)	V(out)
3.98107170553495e+003	1.00000000000000e+000,0.00000000000000e+000	1.59820808116507e-005,-3.99772752757658e-003
4.46683592150961e+003	1.00000000000000e+000,0.00000000000000e+000	1.26950597677976e-005,-3.56299012112792e-003
5.01187233627269e+003	1.00000000000000e+000,0.00000000000000e+000	1.00840707447375e-005,-3.17552657936518e-003
5.62341325190346e+003	1.00000000000000e+000,0.00000000000000e+000	8.01007872647452e-006,-2.83019691278068e-003
6.30957344480189e+003	1.00000000000000e+000,0.00000000000000e+000	6.36264217691899e-006,-2.52241980917204e-003
7.07945784384134e+003	1.00000000000000e+000,0.00000000000000e+000	5.05403294236193e-006,-2.24811196320667e-003
7.94328234724277e+003	1.00000000000000e+000,0.00000000000000e+000	4.01456523837238e-006,-2.00363397895881e-003
8.91250938133740e+003	1.00000000000000e+000,0.00000000000000e+000	3.18888515198916e-006,-1.78574213788012e-003
9.99999999999994e+003	1.00000000000000e+000,0.00000000000000e+000	2.53302317483582e-006,-1.59154539948737e-003
1.12201845430196e+004	1.00000000000000e+000,0.00000000000000e+000	2.01205287520493e-006,-1.41846706935627e-003
1.25892541179416e+004	1.00000000000000e+000,0.00000000000000e+000	1.59823106991737e-006,-1.26421062943436e-003
1.41253754462275e+004	1.00000000000000e+000,0.00000000000000e+000	1.26952048175432e-006,-1.12672927985034e-003
1.58489319246110e+004	1.00000000000000e+000,0.00000000000000e+000	1.00841622652026e-006,-1.00419878989022e-003
1.77827941003891e+004	1.00000000000000e+000,0.00000000000000e+000	8.01013647211590e-007,-8.94993299186495e-004
1.99526231496887e+004	1.00000000000000e+000,0.00000000000000e+000	6.36267861202156e-007,-7.97663748935204e-004
2.23872113856832e+004	1.00000000000000e+000,0.00000000000000e+000	5.05405593139059e-007,-7.10918657586257e-004
2.51188643150956e+004	1.00000000000000e+000,0.00000000000000e+000	4.01457974348544e-007,-6.33606986372498e-004
2.81838293126443e+004	1.00000000000000e+000,0.00000000000000e+000	3.18889430410510e-007,-5.64702867639293e-004
3.16227766016836e+004	1.00000000000000e+000,0.00000000000000e+000	2.53302894943475e-007,-5.03291993559523e-004
3.54813389233573e+004	1.00000000000000e+000,0.00000000000000e+000	2.01205651873263e-007,-4.48559484783845e-004
3.98107170553494e+004	1.00000000000000e+000,0.00000000000000e+000	1.59823336882898e-007,-3.99779078166178e-004
4.46683592150960e+004	1.00000000000000e+000,0.00000000000000e+000	1.26952193227001e-007,-3.56303490173955e-004
5.01187233627269e+004	1.00000000000000e+000,0.00000000000000e+000	1.00841714173405e-007,-3.17555828169401e-004
5.62341325190345e+004	1.00000000000000e+000,0.00000000000000e+000	8.01014224672585e-008,-2.83021935635775e-004
6.30957344480188e+004	1.00000000000000e+000,0.00000000000000e+000	6.36268225555478e-008,-2.52243569803425e-004
7.07945784384133e+004	1.00000000000000e+000,0.00000000000000e+000	5.05405823030496e-008,-2.24812321167456e-004
7.94328234724275e+004	1.00000000000000e+000,0.00000000000000e+000	4.01458119400252e-008,-2.00364194227260e-004
8.91250938133739e+004	1.00000000000000e+000,0.00000000000000e+000	3.18889521931958e-008,-1.78574777547924e-004
1.00000000000000e+005	1.00000000000000e+000,0.00000000000000e+000	2.53302952689606e-008,-1.59154939060454e-004
